From	To
BMP3	BMPR1B
BMP3	BMPR2
BMP3	ACVR1
BMP3	ACVR2
BMP3	ACVR2B
BMP4	BMPR1A
BMP4	BMPR1B
BMP4	BMPR2
BMP4	ACVR1
BMP4	ACVR2
BMP4	ACVR2B
BMP5	BMPR1A
BMP5	BMPR1B
BMP5	BMPR2
BMP5	ACVR1
BMP5	ACVR2
BMP5	ACVR2B
BMP6	BMPR1A
BMP6	BMPR1B
BMP6	BMPR2
BMP6	ACVR1
BMP6	ACVR2
BMP6	ACVR2B
BMP7	BMPR1A
BMP7	BMPR2
BMP7	ACVR1
BMP7	ACVR2
BMP7	ACVR2B
BMP8	BMPR1A
BMP8	BMPR1B
BMP8	BMPR2
BMP8	ACVR1
BMP8	ACVR2
BMP8	ACVR2B
BMP10	BMPR1A
BMP10	BMPR1B
BMP10	BMPR2
BMP10	ACVR1
BMP10	ACVR2
BMP10	ACVR2B
BMP15	BMPR1A
BMP15	BMPR1B
BMP15	BMPR2
BMP15	ACVR1
BMP15	ACVR2
BMP15	ACVR2B
INHBA	ACVR2
INHBB	ACVR2
INHBC	ACVR2
INHA	ACVR1
INHA	ACVR1B
INHA	ACVR2
INHA	ACVR2B
SCYC1	CCXCR1
SCYC2	CCXCR1
SCYD1	CX3CR1
SCYA11	CCR3
SCYA11	GPR9
SCYA11	CCR5
SCYA11	CCBP2
SCYA24	CCR3
SCYA23	CCR1
SCYA14	CCR1
SCYA14	CCBP2
SCYA26	CCR3
SCYA3	CCR1
SCYA3	CCR5
SCYA4	CCR5
SCYA4	CCR8
SCYA4	CCR1
SCYA4	CCBP2
SCYA15	CCR1
SCYA15	CCR3
SCYA1	CCR8
SCYA21	CCR7
SCYA21	GPR9
SCYA5	CCR1
SCYA5	CCR3
SCYA5	CCR4
SCYA5	CCR5
SCYA5	FY
SCYA5	CCBP2
SCYA2	CCR2
SCYA2	FY
SCYA2	CCR1
SCYA2	CCBP2
SCYA8	CCR2
SCYA8	CCR3
SCYA8	CCR5
SCYA8	CCR1
SCYA8	CCBP2
SCYA27	GPR2
SCYA7	CCR1
SCYA7	CCR2
SCYA7	CCR3
SCYA7	CCR5
SCYA7	CCBP2
SCYA13	CCR2
SCYA13	CCR3
SCYA13	CCR1
SCYA13	CCR5
SCYA13	CCBP2
SCYA17	CCR4
SCYA17	CCR8
SCYA20	CCR6
SCYA19	CCR7
SCYA25	CCR9
SCYA22	CCR4
IL8	IL8RA
IL8	IL8RB
IL8	FY
SCYB6	IL8RA
SCYB6	IL8RB
MIG	GPR9
SDF1	CXCR4
SCYB11	GPR9
SCYB5	IL8RB
SCYB5	IL8RA
SCYB10	GPR9
PPBP	IL8RB
PPBP	FY
GRO1	IL8RB
GRO1	FY
GRO2	IL8RB
GRO3	IL8RB
SCYB13	BLR1
SPP1	CD44
WNT10A	FZD5
WNT10A	FZD7
WNT4	FZD5
WNT4	FZD7
FASL	FAS
EGF	EGFR
TGFA	EGFR
AREG	EGFR
AREGB	EGFR
BTC	EGFR
BTC	ERBB4
BTC	ERBB2
HBEGF	EGFR
HBEGF	ERBB4
HBEGF	ERBB2
EREG	EGFR
EREG	ERBB4
EREG	ERBB2
NRG1	ERBB2
NRG1	ERBB4
NRG2	ERBB2
NRG2	ERBB4
NRG3	ERBB4
NRG3	ERBB2
NRG4	ERBB4
NRG4	ERBB2
INS	INSR
EGF	ERBB2
TGFA	ERBB2
AREG	ERBB2
AREGB	ERBB2
NRG1	ERBB3
NRG2	ERBB3
COL27A1	ITGA11
COL27A1	ITGA1
COL27A1	ITGA2
COL27A1	ITGA3
COL27A1	ITGA9
COL27A1	ITGAV
COL27A1	ITGB1
COL27A1	ITGB8
COL27A1	GP6
COL27A1	SDC1
COL27A1	SDC4
COL27A1	ITGA10
COL27A1	CD44
