interaction_name ligand_type interaction_type lig_contributor lig_contributor_group lig_contributor_coeff target_subunit target_subunit_group target_subunit_coeff
73 GABA_GABRG1 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
74 GABA_GABRG2 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
75 GABA_GABRG3 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
76 GABA_GABBR1 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
77 GABA_GABBR2 Neurotransmitter ligand-receptor GAD1-GAD2-SLC32A1 1-1-2 1-1  1 1
78 GJA1_GJA1 Gap junction protein ligand-receptor GJA1 1 1  1 1
79 GJA3_GJA3 Gap junction protein ligand-receptor GJA3 1 1  1 1
80 GJA4_GJA4 Gap junction protein ligand-receptor GJA4 1 1  1 1
81 GJA5_GJA5 Gap junction protein ligand-receptor GJA5 1 1  1 1
82 GJA8_GJA8 Gap junction protein ligand-receptor GJA8 1 1  1 1
83 GJA10_GJA10 Gap junction protein ligand-receptor GJA10 1 1  1 1
84 GJB1_GJB1 Gap junction protein ligand-receptor GJB1 1 1  1 1
85 GJB2_GJB2 Gap junction protein ligand-receptor GJB2 1 1  1 1
86 GJB3_GJB3 Gap junction protein ligand-receptor GJB3 1 1  1 1
87 GJB4_GJB4 Gap junction protein ligand-receptor GJB4 1 1  1 1
88 GJB5_GJB5 Gap junction protein ligand-receptor GJB5 1 1  1 1
89 GJB6_GJB6 Gap junction protein ligand-receptor GJB6 1 1  1 1
90 GJC1_GJC1 Gap junction protein ligand-receptor GJC1 1 1  1 1
91 GJC2_GJC2 Gap junction protein ligand-receptor GJC2 1 1  1 1
92 GJC3_GJC3 Gap junction protein ligand-receptor GJC3 1 1  1 1
93 GJD2_GJD2 Gap junction protein ligand-receptor GJD2 1 1  1 1
94 GJD3_GJD3 Gap junction protein ligand-receptor GJD3 1 1  1 1
95 GJD4_GJD4 Gap junction protein ligand-receptor GJD4 1 1  1 1
96 GJE1_GJE1 Gap junction protein ligand-receptor GJE1 1 1  1 1
97 Ach_CHRNA1 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
98 Ach_CHRNA2 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
99 Ach_CHRNA3 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
100 Ach_CHRNA4 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
101 Ach_CHRNA5 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
102 Ach_CHRNA6 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
103 Ach_CHRNA7 Neurotransmitter ligand-receptor CHAT-SLC18A3 1-2 1-1  1 1
