lr_pair	ligand_gene_symbol	receptor_gene_symbol	ligand_gene_id	receptor_gene_id	ligand_ensembl_protein_id	receptor_ensembl_protein_id	ligand_ensembl_gene_id	receptor_ensembl_gene_id	evidence
MADCAM1_ITGA4	MADCAM1	ITGA4	8174	3676	ENSP00000215637	ENSP00000380227	ENSG00000099866	ENSG00000115232	10702270
MADCAM1_CD44	MADCAM1	CD44	8174	960	ENSP00000215637	ENSP00000398632	ENSG00000099866	ENSG00000026508	2474557
MADCAM1_ITGB7	MADCAM1	ITGB7	8174	3695	ENSP00000215637	ENSP00000267082	ENSG00000099866	ENSG00000139626	8600538
MIF_CXCR4	MIF	CXCR4	4282	7852	ENSP00000215754	ENSP00000386884	ENSG00000240972	ENSG00000121966	19665027
MIF_CD44	MIF	CD44	4282	960	ENSP00000215754	ENSP00000398632	ENSG00000240972	ENSG00000026508	30682543
MIF_EGFR	MIF	EGFR	4282	1956	ENSP00000215754	ENSP00000275493	ENSG00000240972	ENSG00000146648	26280537
MIF_CXCR2	MIF	CXCR2	4282	3579	ENSP00000215754	ENSP00000319635	ENSG00000240972	ENSG00000180871	18852457
OSM_LIFR	OSM	LIFR	5008	3977	ENSP00000215781	ENSP00000263409	ENSG00000099985	ENSG00000113594	10854424
OSM_IL6ST	OSM	IL6ST	5008	3572	ENSP00000215781	ENSP00000370698	ENSG00000099985	ENSG00000134352	16051226
OSM_OSMR	OSM	OSMR	5008	9180	ENSP00000215781	ENSP00000274276	ENSG00000099985	ENSG00000145623	8999038
TCN2_LRP2	TCN2	LRP2	6948	4036	ENSP00000215838	ENSP00000263816	ENSG00000185339	NA	8710919
TCN2_CNR1	TCN2	CNR1	6948	1268	ENSP00000215838	ENSP00000358513	ENSG00000185339	ENSG00000118432	32196115
LGALS1_ITGB1	LGALS1	ITGB1	3956	3688	ENSP00000215909	ENSP00000379350	ENSG00000100097	ENSG00000150093	14550305
LGALS1_PTPRC	LGALS1	PTPRC	3956	5788	ENSP00000215909	ENSP00000411355	ENSG00000100097	ENSG00000081237	10369126
NID2_COL13A1	NID2	COL13A1	22795	1305	ENSP00000216286	ENSP00000381949	ENSG00000087303	ENSG00000197467	11956183
GZMB_CHRM3	GZMB	CHRM3	3002	1131	ENSP00000216341	ENSP00000255380	ENSG00000100453	ENSG00000133019	11665980
GZMB_IGF2R	GZMB	IGF2R	3002	3482	ENSP00000216341	ENSP00000349437	ENSG00000100453	ENSG00000197081	11081635
RSPO4_LGR6	RSPO4	LGR6	343637	59352	ENSP00000217260	ENSP00000356247	ENSG00000101282	ENSG00000133067	21727895
RSPO4_LGR4	RSPO4	LGR4	343637	55366	ENSP00000217260	ENSP00000368516	ENSG00000101282	ENSG00000205213	21693646
RSPO4_LGR5	RSPO4	LGR5	343637	8549	ENSP00000217260	ENSP00000266674	ENSG00000101282	ENSG00000139292	21693646
OXT_AVPR2	OXT	AVPR2	5020	554	ENSP00000217386	ENSP00000351805	ENSG00000101405	NA	9884074
OXT_AVPR1B	OXT	AVPR1B	5020	553	ENSP00000217386	ENSP00000356094	ENSG00000101405	ENSG00000198049	16158071
OXT_AVPR1A	OXT	AVPR1A	5020	552	ENSP00000217386	ENSP00000299178	ENSG00000101405	ENSG00000166148	8106369
OXT_OXTR	OXT	OXTR	5020	5021	ENSP00000217386	ENSP00000324270	ENSG00000101405	ENSG00000180914	10519430
F9_LRP1	F9	LRP1	2158	4035	ENSP00000218099	ENSP00000243077	ENSG00000101981	ENSG00000123384	11560943
PCSK1N_GPR171	PCSK1N	GPR171	27344	29909	ENSP00000218230	ENSP00000308479	ENSG00000102109	ENSG00000174946	31308196
TIMP1_FGFR2	TIMP1	FGFR2	7076	2263	ENSP00000218388	ENSP00000410294	ENSG00000102265	ENSG00000066468	32103204
TIMP1_CD63	TIMP1	CD63	7076	967	ENSP00000218388	ENSP00000447730	ENSG00000102265	ENSG00000135404	16917503
MMP2_PECAM1	MMP2	PECAM1	4313	5175	ENSP00000219070	ENSP00000457421	ENSG00000087245	ENSG00000261371	30793207
MMP2_CCR2	MMP2	CCR2	4313	729230	ENSP00000219070	ENSP00000292301	ENSG00000087245	ENSG00000121807	30132565
MMP2_SDC2	MMP2	SDC2	4313	6383	ENSP00000219070	ENSP00000307046	ENSG00000087245	ENSG00000169439	17623663
MMP2_FGFR1	MMP2	FGFR1	4313	2260	ENSP00000219070	ENSP00000393312	ENSG00000087245	ENSG00000077782	8692946
CCL22_CCR4	CCL22	CCR4	6367	1233	ENSP00000219235	ENSP00000332659	ENSG00000102962	ENSG00000183813	10699158,24218476
CCL22_DPP4	CCL22	DPP4	6367	1803	ENSP00000219235	ENSP00000353731	ENSG00000102962	ENSG00000197635	24218476
CCL22_ACKR2	CCL22	ACKR2	6367	1238	ENSP00000219235	ENSP00000416996	ENSG00000102962	ENSG00000144648	10699158
CCL17_CCR4	CCL17	CCR4	6361	1233	ENSP00000219244	ENSP00000332659	ENSG00000102970	ENSG00000183813	10699158,24218476
