interaction_name	ligand_type	interaction_type	lig_contributor	lig_contributor_group	lig_contributor_coeff	target_subunit	target_subunit_group	target_subunit_coeff
Ach_Chrm4	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Chrm5	Neurotransmitter	ligand-receptor	Chat-Slc18a3	1-2	1-1		1	1.0
Ach_Ache	Neurotransmitter	ligand-degradation	Chat-Slc18a3	1-2	1-1		1	1.0
Gly_Glra1	Neurotransmitter	ligand-receptor	Shmt1-Shmt2-Slc32a1	1-1-2	1-1		1	1.0
Gly_Glra2	Neurotransmitter	ligand-receptor	Shmt1-Shmt2-Slc32a1	1-1-2	1-1		1	1.0
Gly_Glra3	Neurotransmitter	ligand-receptor	Shmt1-Shmt2-Slc32a1	1-1-2	1-1		1	1.0
Gly_Glra4	Neurotransmitter	ligand-receptor	Shmt1-Shmt2-Slc32a1	1-1-2	1-1		1	1.0
Gly_Glrb	Neurotransmitter	ligand-receptor	Shmt1-Shmt2-Slc32a1	1-1-2	1-1		1	1.0
Gly_Slc6a9	Neurotransmitter	ligand-uptake	Shmt1-Shmt2-Slc32a1	1-1-2	1-1		1	1.0
Gly_Slc6a5	Neurotransmitter	ligand-uptake	Shmt1-Shmt2-Slc32a1	1-1-2	1-1		1	1.0
5HT_Htr1a	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr1b	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr1d	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr1e	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr1f	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr2a	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr2b	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr2c	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr3a	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr3b	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr4	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr5a	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr6	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Htr7	Neurotransmitter	ligand-receptor	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
5HT_Slc6a4	Neurotransmitter	ligand-uptake	Tph1-Tph2-Ddc-Slc18a1-Slc18a2	1-1-2-3-3	1-1-1		1	1.0
DA_Drd1	Neurotransmitter	ligand-receptor	Th-Ddc-Slc18a1-Slc18a2	1-2-3-3	1-1-1		1	1.0
DA_Drd5	Neurotransmitter	ligand-receptor	Th-Ddc-Slc18a1-Slc18a2	1-2-3-3	1-1-1		1	1.0
DA_Drd2	Neurotransmitter	ligand-receptor	Th-Ddc-Slc18a1-Slc18a2	1-2-3-3	1-1-1		1	1.0
DA_Drd3	Neurotransmitter	ligand-receptor	Th-Ddc-Slc18a1-Slc18a2	1-2-3-3	1-1-1		1	1.0
DA_Drd4	Neurotransmitter	ligand-receptor	Th-Ddc-Slc18a1-Slc18a2	1-2-3-3	1-1-1		1	1.0
DA_Slc6a3	Neurotransmitter	ligand-uptake	Th-Ddc-Slc18a1-Slc18a2	1-2-3-3	1-1-1		1	1.0
DA_Comt	Neurotransmitter	ligand-degradation	Th-Ddc-Slc18a1-Slc18a2	1-2-3-3	1-1-1		1	1.0
Epi_Adra1a	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Pnmt-Slc18a1-Slc18a2	1-2-3-4-5-5	1-1-1-1-1		1	1.0
Epi_Adra1b	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Pnmt-Slc18a1-Slc18a2	1-2-3-4-5-5	1-1-1-1-1		1	1.0
Epi_Adra1d	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Pnmt-Slc18a1-Slc18a2	1-2-3-4-5-5	1-1-1-1-1		1	1.0
Epi_Adra2a	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Pnmt-Slc18a1-Slc18a2	1-2-3-4-5-5	1-1-1-1-1		1	1.0
Epi_Adra2b	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Pnmt-Slc18a1-Slc18a2	1-2-3-4-5-5	1-1-1-1-1		1	1.0
Epi_Adra2c	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Pnmt-Slc18a1-Slc18a2	1-2-3-4-5-5	1-1-1-1-1		1	1.0
Epi_Adrb1	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Pnmt-Slc18a1-Slc18a2	1-2-3-4-5-5	1-1-1-1-1		1	1.0
Epi_Adrb2	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Pnmt-Slc18a1-Slc18a2	1-2-3-4-5-5	1-1-1-1-1		1	1.0
Epi_Adrb3	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Pnmt-Slc18a1-Slc18a2	1-2-3-4-5-5	1-1-1-1-1		1	1.0
NE_Adra1a	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
NE_Adra1b	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
NE_Adra1d	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
NE_Adra2a	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
NE_Adra2b	Neurotransmitter	ligand-receptor	Th-Ddc-Dbh-Slc18a1-Slc18a2	1-2-3-4-4	1-1-1-1		1	1.0
